BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,TRX,DOT,LINK,BCH,NEAR,MATIC,UNI,LTC,PEPE,DAI,ICP,ETC,APT,RNDR,STX,HBAR,XMR,FIL,ATOM,INJ,XLM,IMX,ARB,FDUSD,WIF,GRT,TAO,SUI,OP,VET,AR,FLOKI,MKR
57037.34,3242.36,394.6,108.36,0.9996,0.5861,0.09758,0.6239,1.089e-05,39.26,0.14288,8.371,19.023,292.8,3.941,1.0284,10.832,73.97,2.67e-06,,13.017,28.13,9.9448,7.181,2.9533,0.1081,,7.667,11.21,39.96,0.1229,3.3461,1.8958,0.9988,,0.2797,,1.6148,3.705,0.04886,19.117,5.092e-05,2158.0
62432.1,3383.1,414.6,119.03,0.9988,0.575,0.11585,0.6287,1.171e-05,40.33,0.14214,8.342,19.43,296.4,3.897,1.009,10.927,74.48,3.18e-06,,12.638,29.57,12.3656,8.002,3.0802,0.1133,,7.715,11.397,43.23,0.121,3.3373,1.8999,0.998,,0.287,,1.5834,3.767,0.04861,28.804,5.631e-05,2174.0
61130.98,3340.09,399.4,125.68,0.9994,0.5867,0.11732,0.6547,1.256e-05,40.97,0.14049,8.261,19.274,297.6,3.877,1.0014,11.124,79.92,2.74e-06,,12.598,28.87,11.7124,7.528,2.8963,0.1145,,8.145,11.282,40.9,0.122,3.1958,1.9445,0.9969,,0.2814,,1.6769,3.7,0.04776,26.708,5.375e-05,2092.0
62387.9,3433.43,407.4,129.43,0.9992,0.6013,0.13934,0.7195,1.687e-05,42.67,0.14148,8.661,20.051,316.3,3.957,1.0249,11.565,84.87,3.99e-06,,12.953,30.33,11.8504,7.842,2.9688,0.1167,,8.2,11.641,45.11,0.1271,3.2066,1.988,0.998,,0.3217,,1.6903,3.757,0.04877,26.822,8.76e-05,2105.0
61987.28,3421.4,410.9,130.02,0.9992,0.6442,0.14196,0.7416,2.259e-05,44.35,0.1412,9.463,21.398,501.1,4.484,1.0946,12.609,94.49,4.38e-06,,13.292,34.31,12.1373,7.651,2.9722,0.1154,,9.303,12.199,42.74,0.1383,3.2345,2.0248,0.9973,,0.3182,,1.621,3.988,0.05134,26.932,0.00013335,2140.0
63113.97,3487.81,414.5,130.16,0.9995,0.6271,0.15347,0.7279,2.252e-05,42.58,0.14065,9.781,20.507,470.5,4.432,1.0893,12.638,90.7,5.93e-06,,13.181,33.6,11.5984,7.558,3.0466,0.1129,,10.508,12.152,40.69,0.1357,3.3193,2.0439,0.9988,,0.3199,,1.559,3.988,0.04909,30.254,0.00014625,2093.0
68245.71,3627.76,418.4,133.27,0.9987,0.6477,0.18196,0.7701,3.591e-05,43.08,0.14026,9.862,20.416,473.5,4.34,1.1445,12.358,88.95,7.01e-06,,13.373,35.96,12.0856,7.375,3.029,0.1172,,10.017,12.48,40.6,0.1459,3.133,1.9823,0.9979,,0.3077,,1.4868,3.909,0.0495,28.573,0.00014438,2093.0
63724.01,3553.65,394.1,125.31,0.9987,0.5912,0.15304,0.6923,3.514e-05,39.43,0.13585,9.32,18.973,401.0,4.245,1.0333,13.184,81.93,6.31e-06,,14.066,34.18,13.6598,6.896,2.7324,0.1114,,8.88,12.0,37.72,0.1322,2.9029,1.9659,0.9964,1.547,0.2779,,1.3962,4.514,0.0443,30.838,0.00011573,1995.0
66074.04,3818.59,429.4,130.79,0.9992,0.6121,0.15784,0.7349,3.327e-05,41.56,0.13775,10.544,20.085,415.8,5.895,1.1182,15.406,85.87,7.2e-06,,15.345,37.3,13.6846,9.304,2.8403,0.1258,,10.053,14.222,38.86,0.1385,3.1464,2.0538,1.0013,1.845,0.3247,,1.4749,4.545,0.04695,35.829,0.00013059,2083.0
66823.17,3868.76,474.6,143.82,0.9984,0.627,0.15764,0.7427,3.15e-05,43.2,0.13709,10.402,20.091,432.1,5.521,1.1605,14.875,88.0,6.81e-06,,14.911,37.9,13.2399,9.973,2.9051,0.1337,,9.922,13.893,42.85,0.142,3.3403,2.1645,1.0023,1.7082,0.3455,,1.5799,4.661,0.04835,37.431,0.0001395,2102.0
68124.19,3883.36,485.8,144.79,0.9977,0.62,0.16457,0.7228,3.518e-05,42.61,0.13662,10.637,19.699,436.5,5.745,1.1254,14.582,88.32,9.01e-06,,14.648,38.06,13.2203,10.45,2.8314,0.1305,,11.452,13.408,41.43,0.1416,3.3736,2.1336,1.0001,2.1575,0.3397,,1.5439,4.484,0.04733,42.705,0.00023206,2090.0
68313.27,3905.21,488.3,144.29,0.9978,0.6197,0.17875,0.7416,3.495e-05,42.92,0.13579,10.493,19.972,432.2,6.193,1.1566,14.184,90.67,8.76e-06,,14.762,37.24,13.148,12.401,2.8067,0.1306,,11.06,13.347,40.87,0.1422,3.5284,2.0962,1.0017,2.168,0.4522,,1.5838,4.697,0.04934,43.485,0.00023845,2416.0
