BTC,ETH,BNB,SOL,USDC,XRP,DOGE,ADA,SHIB,AVAX,LINK,DOT,TRX,BCH,NEAR,MATIC,UNI,LTC,PEPE,ICP,DAI,ETC,RNDR,APT,HBAR,IMX,WIF,ATOM,FIL,ARB,XLM,STX,AR,XMR,GRT,FLOKI,FDUSD,TAO,OP,SUI,NOT,VET,MKR
24271.76,1679.75,311.5,24.84,,0.3863,0.08697,0.3995,1.332e-05,19.81,8.014,7.438,0.07038,136.0,2.575,1.4785,7.21,97.43,,7.348,,22.5,1.718,14.0791,0.0874,1.018,,14.126,8.466,,0.0905,0.656,12.52,162.3,0.1689,,,,2.579,,,0.02871,737.0
24842.2,1703.27,315.4,26.26,,0.3984,0.08829,0.4038,1.349e-05,20.82,8.017,7.551,0.07197,145.1,2.702,1.4753,7.371,95.9,,7.324,,23.18,1.716,14.2181,0.0868,1.043,,14.423,8.526,,0.0945,0.615,12.76,161.7,0.1712,,,,2.608,,,0.03186,771.0
24452.16,1659.76,311.5,24.98,,0.3919,0.08546,0.3925,1.306e-05,20.98,7.64,7.251,0.06948,145.3,2.569,1.3867,7.036,93.8,,6.889,,22.85,1.708,13.4449,0.0825,1.02,,13.866,8.182,,0.0949,0.6509,11.63,159.6,0.1675,,,,2.517,,,0.03014,787.0
24182.21,1643.14,312.4,24.16,,0.3953,0.0855,0.3888,1.315e-05,20.32,7.717,7.186,0.06944,142.0,2.508,1.3956,6.931,95.28,,6.731,,22.48,1.614,13.8913,0.0823,1.018,,13.587,8.031,,0.0924,0.7378,11.2,157.7,0.1634,,,,2.704,,,0.02957,760.0
23940.2,1650.53,308.3,23.91,,0.3882,0.08425,0.3824,1.313e-05,19.71,7.935,7.093,0.06955,138.8,2.47,1.3533,6.943,94.59,,6.682,,22.12,1.575,13.445,0.0807,1.044,,13.738,7.846,,0.091,0.8186,10.98,151.9,0.1608,,,,2.875,,,0.02974,740.0
23185.29,1607.8,302.3,23.07,,0.3783,0.08092,0.3658,1.255e-05,18.39,7.466,6.614,0.06787,132.7,2.313,1.265,6.572,91.55,,6.285,,21.11,1.455,12.8449,0.0771,0.973,,13.08,6.853,,0.0892,0.731,10.23,150.4,0.1549,,,,3.06,,,0.02775,715.0
23157.07,1594.58,302.4,22.37,,0.3778,0.08075,0.362,1.24e-05,17.94,7.373,6.544,0.06785,133.2,2.289,1.247,6.469,93.15,,6.11,,20.98,1.407,12.2498,0.075,0.963,,12.842,6.706,,0.088,0.7629,9.87,149.0,0.149,,,,2.753,,,0.02695,707.0
23554.85,1641.36,308.7,23.25,,0.3779,0.08216,0.3691,1.284e-05,18.43,7.497,6.691,0.06951,136.3,2.376,1.2817,6.61,95.27,,6.242,,21.41,1.536,12.6407,0.0748,0.982,,12.961,6.906,,0.089,0.7806,10.25,151.3,0.1606,,,,3.009,,,0.02823,775.0
23492.09,1633.45,304.6,22.68,,0.3785,0.08136,0.3647,1.251e-05,17.93,7.274,6.579,0.06943,135.2,2.346,1.2345,6.439,94.07,,6.124,,21.31,1.475,12.3764,0.0722,0.967,,12.786,6.851,,0.0883,0.91,10.46,149.8,0.1576,,,,2.896,,,0.02811,788.0
23141.57,1605.23,301.4,21.89,,0.3762,0.08085,0.3517,1.202e-05,17.09,7.195,6.347,0.06905,132.0,2.23,1.1964,6.501,93.8,,5.798,,20.76,1.457,11.886,0.0691,1.057,,12.279,6.484,,0.0871,0.8867,9.86,150.3,0.1526,,,,2.703,,,0.02695,791.0
